accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_car,involves_pedestrian,involves_motorcycle,longitude,latitude
218750,9,12,16,4,3,2,f,t,f,f,13.58226378,52.44255516
218748,12,12,16,5,3,2,f,t,f,f,13.31231014,52.60453689
218747,2,12,5,1,3,5,f,t,f,f,13.40197659,52.492472
218745,9,11,14,3,3,6,f,f,t,f,13.53407828,52.43141756
218743,12,12,7,4,3,2,f,t,f,f,13.3391524,52.59733433
218742,11,12,19,1,3,2,f,t,f,f,13.51952676,52.50648211
218741,1,12,19,5,3,2,f,t,f,f,13.33780641,52.55858678
218740,7,12,12,3,3,2,f,t,f,f,13.34780692,52.4668176
218737,3,12,5,5,3,8,f,f,f,t,13.46417028,52.56666028
218736,4,12,14,1,3,1,f,t,f,f,13.30700856,52.52327792
218735,10,12,19,1,3,5,f,t,f,f,13.58703309,52.54925586
218734,7,12,17,4,3,6,f,t,t,f,13.40639647,52.39376273
218732,1,12,6,6,3,6,f,t,t,f,13.37944605,52.55610619
218731,1,12,7,5,3,0,f,t,f,t,13.41714373,52.52191317
218729,4,11,16,2,3,6,f,t,t,f,13.3142922,52.50779892
218727,1,12,7,3,3,0,f,t,f,t,13.34549035,52.52631312
218726,2,12,20,5,3,2,f,t,f,f,13.42845664,52.51919899
218725,6,12,6,3,3,5,f,t,f,f,13.30981664,52.43133264
218724,5,12,14,6,3,0,f,f,f,t,13.26241737,52.54842579
218721,3,12,8,7,2,5,t,f,f,f,13.3940032,52.59163818
218720,11,11,5,3,3,6,f,t,t,f,13.52084779,52.56854309
218719,1,12,16,1,2,6,f,t,t,f,13.38883497,52.55011119
218718,10,12,19,2,3,6,f,t,t,f,13.58701779,52.52360471
218716,6,12,15,4,3,5,f,t,f,f,13.27487853,52.46043587
218715,8,12,17,6,3,2,t,t,t,f,13.42959607,52.48135183
218713,3,12,8,5,3,4,f,t,f,f,13.41969604,52.59110471
218711,5,12,17,5,3,6,f,t,t,f,13.19900173,52.53486787
218710,7,12,15,2,3,6,f,t,t,f,13.4158648,52.45940996
218709,11,12,20,1,3,2,f,t,f,f,13.4989711,52.56829016
218708,1,12,21,4,3,6,f,t,t,f,13.38995614,52.55527181
218707,10,12,11,3,3,5,f,t,f,f,13.62322031,52.53496789
218705,4,12,11,5,3,5,t,f,f,f,13.30223816,52.54789185
218704,1,12,19,5,3,5,t,t,f,f,13.39902001,52.53908174
218703,4,12,19,6,2,5,t,t,f,f,13.30056107,52.50315602
218701,9,12,22,6,2,0,f,t,f,f,13.64888233,52.40172462
218698,9,12,17,3,3,4,f,t,f,f,13.53945031,52.40318809
218697,1,12,20,5,3,5,t,t,f,f,13.39547438,52.52893898
218696,4,12,7,4,3,1,t,f,f,f,13.31378039,52.47642556
218694,1,12,18,5,3,3,t,t,f,f,13.37689139,52.51776014
218693,5,12,0,1,3,6,f,t,t,f,13.19960463,52.53445739
218691,7,11,20,2,3,6,f,f,t,f,13.38063723,52.48226185
218690,5,12,16,1,3,6,f,t,t,f,13.20387243,52.54515399
218689,10,12,14,4,3,5,f,t,f,f,13.5215949,52.52574526
218688,1,12,21,1,3,6,f,f,t,f,13.38656389,52.52370593
218686,5,12,16,6,2,6,f,t,t,f,13.18049088,52.55292715
218685,4,12,14,3,3,6,f,t,t,f,13.28333287,52.51866735
218682,3,12,16,6,3,1,t,t,f,f,13.40898608,52.53512985
218681,7,12,16,6,3,8,f,f,f,f,13.35452865,52.49721121
218680,4,12,9,2,3,0,t,f,f,f,13.29737556,52.51060047
218679,12,11,7,3,2,6,f,t,t,f,13.32495477,52.5886721
218678,6,12,19,2,3,6,f,t,t,f,13.26652813,52.43059086
218676,1,12,15,3,3,0,f,t,f,f,13.4094782,52.52881493
